lp2p,lp3p,pi_conj,en1,en2,en3,en4,en5,p
0,0,0,2.55,6.95,2.55,7.65,12.05,-0.12
1,0,1,3.04,5.1,5.59,11.35,7.65,0.08
0,0,0,1.9,7.65,20.85,12.05,12.05,0.07
0,1,1,2.58,8.63,9.18,16.31,7.65,0.7
0,0,1,2.19,11.98,15.3,39.6,0,0.41
0,0,1,2.19,11.98,13.9,13.9,13.9,0.49
0,0,1,2.19,13.76,5.1,13.9,13.9,0.57
0,1,0,2.19,5.1,15.3,39.6,0,0.15
0,0,1,2.55,7.3,4.75,9.43,7.65,0.05
0,0,1,2.55,7.3,4.75,9.43,7.65,0.05
0,0,1,2.55,7.65,12.05,12.05,5.1,0.01
0,0,0,1.9,10.32,5.7,22.95,59.4,-0.01
0,0,1,2.55,7.65,12.05,12.05,5.1,0.01
0,0,0,2.55,7.65,20.85,21.9,41.7,-0.13
0,0,0,2.18,5.1,15.3,24.1,24.1,0.09
0,0,1,2.18,11.98,15.3,24.1,24.1,0.64
0,0,0,2.19,7.14,24.78,24.1,24.1,0.72
1,0,0,3.04,5.1,15.3,24.1,24.1,-0.22
0,0,1,2.19,11.98,15.3,24.1,24.1,0.53
0,1,0,2.19,5.1,15.3,24.1,24.1,0.19
0,0,1,2.19,10.26,15.3,24.1,24.1,0.47
0,1,0,2.19,5.59,12.75,25.95,25.95,0.24
0,0,1,2.55,8.54,7.3,17.08,17.85,0.38
0,0,1,2.55,8.54,7.3,17.08,17.5,0.38
0,0,1,2.55,10.32,7.65,22.95,36.99,0.21
0,0,0,2.55,7.3,15.3,24.1,24.1,-0.05
0,0,0,2.18,5.1,15.3,25.78,34.3,0.07
0,0,1,2.19,11.98,15.3,24.1,24.1,0.3
0,0,0,2.55,6.59,11.98,15.3,24.1,0.01
0,0,1,2.19,10.26,15.3,24.1,24.1,0.3
0,0,0,1.9,7.65,21.9,24.1,24.1,0.13
0,0,1,2.55,10.32,2.55,7.3,15.3,0.56
0,0,1,2.19,11.98,15.3,24.1,24.1,0.3
0,0,1,2.19,10.26,15.3,24.1,24.1,0.23
0,0,0,1.81,7.65,22.95,36.15,36.15,0.08
1,0,1,3.04,4.38,7.65,22.95,36.15,-0.77
0,0,0,1.9,7.65,22.95,36.15,36.15,0.1
0,0,0,2.55,7.65,22.95,36.15,36.15,0.02
