lp2p,lp3p,pi_conj,en1,en2,en3,en4,en5,m
1,0,0,3.04,5.1,15.3,22.7,14.6,0.49
0,0,1,2.55,7.65,11.7,13.9,13.9,-0.1
0,0,0,2.55,7.3,13.9,13.9,13.9,-0.05
1,0,0,3.04,5.1,13.9,13.9,13.2,-0.26
0,0,0,2.55,6.95,6.95,6.95,7.44,-0.08
0,0,1,2.19,11.98,14.6,26.4,0,0.37
0,1,0,2.19,5.1,14.6,26.4,0,0.02
0,0,1,2.19,13.76,5.1,13.9,13.9,0.38
0,0,0,2.01,7.65,20.85,19.8,0,0
0,0,0,1.9,10.32,7.65,20.85,19.8,0.02
0,0,0,1.96,7.65,20.85,19.8,0,0
0,0,1,2.19,11.18,23.6,37.33,35.82,1.24
0,0,0,1.9,9.12,15.3,39.6,0,-0.04
0,0,1,2.55,9.52,5.1,15.3,19.7,0.3
0,0,1,2.55,8.66,5.1,15.3,19.7,0.27
0,0,1,2.55,9.43,7.65,12.05,12.05,0.34
1,0,0,3.44,2.55,9.43,7.65,12.05,0.21
0,0,1,2.55,10.32,2.55,7.65,12.05,0.37
1,0,1,3.04,5.1,4.75,7.65,12.05,-0.08
0,0,1,2.55,8.28,2.55,7.65,12.05,0.35
1,0,0,3.04,4.75,9.43,7.65,12.05,0.02
0,0,1,2.55,9.92,4.75,7.65,12.05,0.23
0,0,1,2.55,7.65,12.05,12.05,2.55,0.06
0,0,0,2.55,6.95,7.65,12.05,12.05,-0.08
1,0,1,3.04,6.08,2.55,7.65,13.29,0.27
0,0,1,2.55,7.65,12.05,12.05,6.88,0.05
0,0,0,2.55,8.19,9.85,12.05,12.05,0
0,0,0,2.55,7.84,2.55,7.65,12.05,0.06
0,0,0,2.55,6.98,16.31,7.65,12.05,0.15
0,0,0,2.55,7.65,20.85,19.8,0,-0.07
0,0,0,2.55,6.95,6.95,6.95,6.95,-0.07
0,0,0,1.9,9.43,10.4,15.3,39.6,-0.02
0,0,0,2.55,10.51,10.51,7.65,12.05,0.34
0,0,1,2.55,7.65,2.55,7.65,12.05,0.14
0,0,1,2.55,8.28,2.55,7.65,12.05,0.39
0,0,1,2.55,7.3,4.75,7.65,12.05,0.03
0,0,1,2.55,8.28,3.04,4.75,9.43,0.39
1,0,1,3.04,5.1,4.75,7.65,12.05,-0.07
1,0,0,3.04,4.75,9.43,7.65,12.05,0.09
0,1,0,2.58,2.55,8.28,2.58,16.31,0.65
0,0,1,2.55,7.65,12.05,12.05,5.1,0.07
0,0,0,2.55,6.95,2.55,7.65,12.05,-0.07
1,0,1,3.04,5.1,5.59,11.35,7.65,0.29
0,0,0,1.9,7.65,20.85,12.05,12.05,0.04
0,1,1,2.58,8.63,9.18,16.31,7.65,0.65
0,0,1,2.19,11.98,15.3,39.6,0,0.31
0,0,1,2.19,11.98,13.9,13.9,13.9,0.35
0,0,1,2.19,13.76,5.1,13.9,13.9,0.41
0,1,0,2.19,5.1,15.3,39.6,0,0.01
0,0,1,2.55,7.3,4.75,9.43,7.65,0.15
0,0,1,2.55,7.3,4.75,9.43,7.65,0.18
0,0,1,2.55,7.65,12.05,12.05,5.1,0.08
0,0,0,1.9,10.32,5.7,22.95,59.4,-0.09
0,0,1,2.55,7.65,12.05,12.05,5.1,0.07
0,0,0,2.55,7.65,20.85,21.9,41.7,-0.12
0,0,0,2.18,5.1,15.3,24.1,24.1,0.03
0,0,1,2.18,11.98,15.3,24.1,24.1,0.54
0,0,0,2.19,7.14,24.78,24.1,24.1,0.67
1,0,0,3.04,5.1,15.3,24.1,24.1,0
0,0,1,2.19,11.98,15.3,24.1,24.1,0.38
0,1,0,2.19,5.1,15.3,24.1,24.1,0.11
0,0,1,2.19,10.26,15.3,24.1,24.1,0.29
0,1,0,2.19,5.59,12.75,25.95,25.95,0.2
0,0,1,2.55,8.54,7.3,17.08,17.85,0.37
0,0,1,2.55,8.54,7.3,17.08,17.5,0.38
0,0,1,2.55,10.32,7.65,22.95,36.99,0.17
0,0,0,2.55,7.3,15.3,24.1,24.1,-0.03
0,0,0,2.18,5.1,15.3,25.78,34.3,0.12
0,0,1,2.19,11.98,15.3,24.1,24.1,0.13
0,0,0,2.55,6.59,11.98,15.3,24.1,0.14
0,0,1,2.19,10.26,15.3,24.1,24.1,0.09
0,0,0,1.9,7.65,21.9,24.1,24.1,0.1
0,0,1,2.55,10.32,2.55,7.3,15.3,0.36
0,0,1,2.19,11.98,15.3,24.1,24.1,0.17
0,0,1,2.19,10.26,15.3,24.1,24.1,0.2
0,0,0,1.81,7.65,22.95,36.15,36.15,0.05
1,0,1,3.04,4.38,7.65,22.95,36.15,-0.33
0,0,0,1.9,7.65,22.95,36.15,36.15,-0.03
0,0,0,2.55,7.65,22.95,36.15,36.15,-0.01
